rank	TP	FN	FP	TN	FDR	Power	Sensitivity	model
0.42	1	0	0	0	0	1	0.7118668807473362	1
0.43	1	0	0	0	0	1	0.7287987155159831	1
0.44	1	0	0	0	0	1	0.74573055028463	1
0.45	1	0	0	0	0	1	0.7626623850532769	1
0.46	1	0	0	0	0	1	0.7795942198219238	1
0.47	1	0	0	0	0	1	0.7966720186834039	1
0.48	1	0	0	0	0	1	0.8136038534520508	1
0.49	1	0	0	0	0	1	0.8305356882206977	1
0.5	1	0	0	0	0	1	0.8474675229893446	1
0.51	1	0	0	0	0	1	0.8643993577579915	1
0.52	1	0	0	0	0	1	0.8813311925266385	1
0.53	1	0	0	0	0	1	0.8982630272952854	1
0.54	1	0	0	0	0	1	0.9153408261567655	1
0.55	1	0	0	0	0	1	0.9322726609254124	1
0.56	0.9998462248193142	0	1.5377518068583732e-4	0	1.5377518068583732e-4	1	0.9490585316012261	1
0.57	0.9966762350808279	0	0.0033237649191720803	0	0.0033237649191720803	1	0.9629251204203766	1
0.58	0.9881217520415738	0	0.011878247958426132	0	0.011878247958426132	1	0.9713910378047	1
0.59	0.9750401401255291	0	0.02495985987447088	0	0.02495985987447088	1	0.9750401401255291	1
0.6	0.96282474522750106	0	0.037175254772498924	0	0.037175254772498924	1	0.9791271347248577	1
0.61	0.9488917125511789	0	0.05110828744882112	0	0.05110828744882112	1	0.9810246679316889	1
0.62	0.9347222222222222	0	0.06527777777777778	0	0.06527777777777778	1	0.9823383447671873	1
0.63	0.9215418261344998	0	0.07845817386550027	0	0.07845817386550027	1	0.9840899138811853	1
0.64	0.9083692142088267	0	0.0916307857911733	0	0.0916307857911733	1	0.9854035907166837	1
0.65	0.8953365129835718	0	0.10466348701642819	0	0.10466348701642819	1	0.9864253393665159	1
0.66	0.8826983298538622	0	0.1173016701461378	0	0.1173016701461378	1	0.987447088016348	1
0.67	0.8704370179948586	0	0.12956298200514138	0	0.12956298200514138	1	0.9884688366661801	1
0.68	0.8582826747720365	0	0.14171732522796351	0	0.14171732522796351	1	0.9891986571303459	1
0.69	0.8467299051422865	0	0.15327009485771342	0	0.15327009485771342	1	0.9902204057801781	1
0.7	0.8354041087464633	0	0.1645958912535367	0	0.1645958912535367	1	0.9912421544300102	1
0.71	0.8241358399029715	0	0.17586416009702852	0	0.17586416009702852	1	0.9918260108013429	1
0.72	0.8132998445162062	0	0.18670015548379382	0	0.18670015548379382	1	0.9925558312655087	1
0.73	0.8022885454759938	0	0.19771145452400612	0	0.19771145452400612	1	0.9927017953583418	1
0.74	0.7920400325846619	0	0.20795996741533807	0	0.20795996741533807	1	0.9934316158225076	1
0.75	0.7819497071994489	0	0.21805029280055116	0	0.21805029280055116	1	0.9940154721938403	1
0.76	0.7718980169971671	0	0.22810198300283285	0	0.22810198300283285	1	0.9943074003795066	1
0.77	0.7620219190337733	0	0.2379780809662268	0	0.2379780809662268	1	0.994599328565173	1
0.78	0.7527047913446677	0	0.2472952086553323	0	0.2472952086553323	1	0.9951831849365056	1
0.79	0.7432962720732504	0	0.2567037279267495	0	0.2567037279267495	1	0.9953291490293388	1
0.8	0.7341227125941873	0	0.2658772874058127	0	0.2658772874058127	1	0.995475113122172	1
0.81	0.7251754199447161	0	0.2748245800552839	0	0.2748245800552839	1	0.9956210772150051	1
0.82	0.7166561646712876	0	0.28334383532871243	0	0.28334383532871243	1	0.9960589694935046	1
0.83	0.7082382236978626	0	0.2917617763021374	0	0.2917617763021374	1	0.996350897679171	1
0.84	0.700225548492926	0	0.29977445150707405	0	0.29977445150707405	1	0.9969347540505036	1
0.85	0.6919258433795968	0	0.3080741566204032	0	0.3080741566204032	1	0.9969347540505036	1
0.86	0.6838890557725043	0	0.31611094422749575	0	0.31611094422749575	1	0.9969347540505036	1
